all_values - INFO - 2025-05-14 18:40:00 all: {'teplota_vzduchu': 16.4, 'prizemni_teplota': 7.7, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 41.458, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 1.3, 'napeti': 13.1}
all_values - INFO - 2025-05-14 18:50:00 all: {'teplota_vzduchu': 16.5, 'prizemni_teplota': 7.8, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 41.989, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.6, 'globalni_zareni_Wm2': 0.7, 'napeti': 13.1}
all_values - INFO - 2025-05-14 18:50:00 all: {'teplota_vzduchu': 16.5, 'prizemni_teplota': 7.8, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 41.989, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.3, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.6, 'globalni_zareni_Wm2': 0.7, 'napeti': 13.1}
all_values - INFO - 2025-05-14 19:00:00 all: {'teplota_vzduchu': 16, 'prizemni_teplota': 7.6, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 43.307, 'smer_vetru_stupne_180_jih': 135, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13.1}
all_values - INFO - 2025-05-14 19:20:00 all: {'teplota_vzduchu': 15.1, 'prizemni_teplota': 6.6, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 46.885, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 19:20:00 all: {'teplota_vzduchu': 15.1, 'prizemni_teplota': 6.6, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 46.885, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-14 19:30:00 all: {'teplota_vzduchu': 14.7, 'prizemni_teplota': 6.1, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 48.846, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 19:30:00 all: {'teplota_vzduchu': 14.7, 'prizemni_teplota': 6.1, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 48.846, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 19:30:00 all: {'teplota_vzduchu': 14.7, 'prizemni_teplota': 6.1, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 48.846, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1007.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-14 19:50:00 all: {'teplota_vzduchu': 13.5, 'prizemni_teplota': 5.6, 'teplota_pudy_10cm': 13.5, 'teplota_pudy_20cm': 13, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 55.177, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.8, 'tlak_vzduchu': 1007.4, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
