all_values - INFO - 2025-05-20 17:30:00 all: {'teplota_vzduchu': 17.4, 'prizemni_teplota': 13.2, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 61.776, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.7, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 169.3, 'napeti': 13.1}
all_values - INFO - 2025-05-20 17:50:00 all: {'teplota_vzduchu': 16.7, 'prizemni_teplota': 12.3, 'teplota_pudy_10cm': 14.1, 'teplota_pudy_20cm': 13.1, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 64.066, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.5, 'globalni_zareni_Wm2': 114.9, 'napeti': 13.1}
all_values - INFO - 2025-05-20 18:20:00 all: {'teplota_vzduchu': 15.4, 'prizemni_teplota': 9.6, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 70.7, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 1.1, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1012.7, 'globalni_zareni_Wm2': 39.1, 'napeti': 13.1}
all_values - INFO - 2025-05-20 18:40:00 all: {'teplota_vzduchu': 14.6, 'prizemni_teplota': 7.9, 'teplota_pudy_10cm': 14, 'teplota_pudy_20cm': 13.2, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 73.654, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0.5, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.1, 'globalni_zareni_Wm2': 5.3, 'napeti': 13.1}
all_values - INFO - 2025-05-20 19:20:00 all: {'teplota_vzduchu': 12.3, 'prizemni_teplota': 5.5, 'teplota_pudy_10cm': 13.9, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 84.067, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 19:30:00 all: {'teplota_vzduchu': 12.8, 'prizemni_teplota': 5.3, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.6, 'srazky': 0, 'vlhkost_vzduchu': 82.841, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 19:40:00 all: {'teplota_vzduchu': 12.5, 'prizemni_teplota': 5.1, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 82.128, 'smer_vetru_stupne_180_jih': 90, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 19:50:00 all: {'teplota_vzduchu': 12.1, 'prizemni_teplota': 4.8, 'teplota_pudy_10cm': 13.8, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 83.964, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.6, 'globalni_zareni_Wm2': 0.8, 'napeti': 13}
all_values - INFO - 2025-05-20 20:10:00 all: {'teplota_vzduchu': 11.4, 'prizemni_teplota': 4.5, 'teplota_pudy_10cm': 13.7, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 86.833, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 20:30:00 all: {'teplota_vzduchu': 10.8, 'prizemni_teplota': 4.1, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 89.284, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 20:40:00 all: {'teplota_vzduchu': 10.3, 'prizemni_teplota': 4, 'teplota_pudy_10cm': 13.6, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.7, 'srazky': 0, 'vlhkost_vzduchu': 91.864, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.5, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
all_values - INFO - 2025-05-20 20:50:00 all: {'teplota_vzduchu': 10.1, 'prizemni_teplota': 3.8, 'teplota_pudy_10cm': 13.5, 'teplota_pudy_20cm': 13.3, 'teplota_pudy_30cm': 11.8, 'srazky': 0, 'vlhkost_vzduchu': 93.535, 'smer_vetru_stupne_180_jih': 45, 'oroseni_listu': 1, 'rychlost_vetru_mss': 0, 'vlhkost_pudy': 18.9, 'tlak_vzduchu': 1013.6, 'globalni_zareni_Wm2': 0.7, 'napeti': 13}
